Protein	L_gryllorum_count
XP_011129939.1 RNA recognition motif protein	1
XP_011131081.1 hypothetical protein GNI_098910	1
CAK0813866.1 unnamed protein product	1
XP_011134460.1 prefoldin subunit 3	1
KAH0479765.1 MAG: hypothetical protein KVP17_00...	1
CAJ1375486.1 unnamed protein product	1
CAH8863538.1 unnamed protein product	1
XP_031842255.1 uncharacterized protein LOC11643...	1
XP_011130493.1 putative nuclear cap-binding pro...	1
XP_011129051.1 hypothetical protein GNI_026550	1
CEM20466.1 unnamed protein product	1
XP_011129821.1 coatomer subunit delta	1
XP_008615167.1 hypothetical protein SDRG_10928	1
XP_011132965.1 putative transmembrane protein	1
XP_029221856.1 kelch repeat and K+ channel tetr...	1
MCK4929474.1 MGMT family protein	1
OII77298.1 hypothetical protein cand_020080	1
XP_008622469.1 60S ribosomal protein L18-2, put...	1
XP_011133662.1 hypothetical protein GNI_190830	1
CEM20963.1 unnamed protein product	1
XP_003879724.1 putative DNAK family domain cont...	1
PHJ23387.1 eukaryotic initiation factor 4a-iii	1
XP_033760558.1 LOW QUALITY PROTEIN: uncharacter...	1
XP_029222746.1 hypothetical protein BESB_010790	1
XP_011131065.1 tRNA-dihydrouridine synthase	1
KAH9599207.1 Short-chain dehydrogenase/reductas...	1
XP_005485711.2 RING finger and CHY zinc finger ...	1
XP_029216030.1 putative carbonyl reductase 1	1
WP_254285056.1 FAD-dependent monooxygenase	1
WP_054284499.1 arginine deiminase	1
XP_046552968.1 putative ankyrin repeat protein ...	1
XP_004833797.1 nucleosome assembly protein, put...	1
XP_011129681.1 hypothetical protein GNI_049630	1
XP_053990608.1 protein phosphatase methylestera...	1
XP_003885155.1 conserved hypothetical protein	1
MCO5605401.1 hypothetical protein	1
CEM00637.1 unnamed protein product	1
XP_011130377.1 putative small GTP-binding prote...	1
WP_123504720.1 D-isomer specific 2-hydroxyacid ...	1
XP_011132707.1 putative ubiquitin-like protein	1
XP_011128657.1 PP-loop protein	1
KAH0482443.1 MAG: hypothetical protein KVP17_00...	1
XP_011130456.1 asparaginyl-tRNA synthetase	1
XP_011130460.1 proteasome subunit alpha type	1
CAG9314150.1 unnamed protein product	1
XP_029218705.1 hypothetical protein BESB_067290	1
XP_011134256.1 26S protease regulatory subunit ...	1
XP_011129265.1 glutathione synthase	1
XP_021929091.1 eukaryotic translation initiatio...	1
KAJ1610344.1 DNAJ domain-containing protein wit...	1
XP_011130490.1 histone H4	1
XP_011134321.1 histone H2A	1
KPI84220.1 putative NADP-dependent alcohol dehy...	1
XP_011128878.1 tyrosyl-tRNA synthetase	1
XP_011132554.1 heat shock protein 70	1
CAD8109013.1 unnamed protein product	1
HXG66078.1 NADP-dependent oxidoreductase	1
XP_011128584.1 putative vacuolar ATP synthase s...	1
XP_011129047.1 putative eukaryotic translation ...	1
XP_003879991.1 hypothetical protein NCLIV_004400	1
KAF8821731.1 hypothetical protein IE077_001662,...	1
CAI3990214.1 unnamed protein product	1
XP_011130712.1 putative cytosolic Fe-S cluster ...	1
XP_002768159.1 eukaryotic translation initiatio...	1
WP_147163756.1 hypothetical protein	1
XP_021338342.1 Protein tyrosine kinase	1
KAH0481632.1 MAG: hypothetical protein KVP17_00...	1
CAG9529918.1 unnamed protein product	1
XP_011128674.1 hypothetical protein GNI_007340	1
CAE8647001.1 unnamed protein product	1
XP_011132986.1 putative vacuolar ATP synthase s...	1
XP_011129897.1 1-acyl-sn-glycerol-3-phosphate a...	1
XP_011132174.1 hypothetical protein GNI_131160	1
XP_011131589.1 arsenite-resistance protein 2	1
CAE7350363.1 Xab2	1
XP_011129358.1 FHA domain protein	1
XP_011128721.1 putative aspartyl protease	1
XP_059060122.1 uncharacterized protein LOC13185...	1
XP_011131010.1 UDP-glucose 6-dehydrogenase, par...	1
KAH8742043.1 ubiquitin-conjugating enzyme	1
CEM00626.1 unnamed protein product	1
PIR43964.1 MAG: molecular chaperone DnaK	1
KAH0476833.1 MAG: hypothetical protein KVP17_00...	1
XP_011131252.1 putative splicing factor	1
XP_011134023.1 hypothetical protein GNI_081390	1
KAH8584683.1 zinc finger protein	1
EFJ08933.1 hypothetical protein SELMODRAFT_235915	1
XP_011130894.1 hypothetical protein GNI_092420,...	1
XP_011130755.1 putative P-type ATPase	1
KAI4838203.1 U6 snRNA-associated Sm-like protei...	1
XP_011128950.1 glycyl-tRNA synthetase	1
WP_141190310.1 glycerate kinase	1
XP_055388802.1 pre-mRNA-splicing factor SLU7-like	1
XP_011133307.1 putative signal recognition part...	1
CAE7530388.1 ubc6	1
KAH0482714.1 MAG: hypothetical protein KVP18_00...	1
KAH0472134.1 MAG: hypothetical protein KVP17_00...	1
XP_017138834.1 crossover junction endonuclease ...	1
WP_088835299.1 lactonase family protein	1
XP_011134517.1 sugar transporter	1
XP_053644049.1 protein farnesyltransferase subu...	1
XP_011131672.1 hypothetical protein GNI_115220	1
MBI2375358.1 2-oxo acid dehydrogenase subunit E2	1
CEM11400.1 unnamed protein product	1
KAA8491105.1 DNA-binding protein	1
XP_011128690.1 protein kinase domain protein	1
XP_011130819.1 galactosyltransferase	1
XP_003057935.1 uncharacterized protein MICPUCDR...	1
XP_011134193.1 putative RNA recognition motif p...	1
XP_011133001.1 putative oocyst wall protein	1
SCP03968.1 aspartyl protease, putative	1
XP_013762624.1 BTB/POZ domain-containing protein	1
OBS71997.1 hypothetical protein A6R68_13424, pa...	1
XP_003882911.1 Protein kinase AKT, related	1
XP_011129052.1 putative 5' nucleotidase, deoxy,...	1
UJR34167.1 hypothetical protein I4U23_021575	1
KAH0471949.1 MAG: hypothetical protein KVP18_00...	1
CEL92358.1 unnamed protein product	1
XP_011132233.1 AAA domain protein	1
XP_011130930.1 UDP-N-acetylglucosamine pyrophos...	1
XP_018635745.1 alpha-glucan water dikinase 1, p...	1
OII77592.1 LSM domain-containing protein	1
RKP24303.1 XPC-binding domain-containing protein	1
KAF4659503.1 Coatomer subunit beta'	1
XP_011133518.1 putative zinc finger protein, pa...	1
MCY3857823.1 dephospho-CoA kinase	1
XP_011131967.1 hypothetical protein GNI_124380	1
KAH0477949.1 MAG: hypothetical protein KVP17_00...	1
XP_011130820.1 inward rectifier potassium chann...	1
XP_011130067.1 hypothetical protein GNI_063930	1
KAH0477618.1 MAG: hypothetical protein KVP17_00...	1
XP_011131097.1 hypothetical protein GNI_099250	1
CEL94748.1 unnamed protein product	1
XP_041468145.1 equilibrative nucleoside transpo...	1
XP_011134427.1 putative transmembrane protein	1
KAH0472912.1 MAG: hypothetical protein KVP17_00...	1
CEM03775.1 unnamed protein product	1
XP_011130753.1 putative oocyst wall protein	1
XP_011134394.1 hypothetical protein GNI_024630	1
EPR64392.1 RNA-binding protein 8A family protein	1
CEM33822.1 unnamed protein product	1
XP_011134116.1 helicase	1
XP_011134017.1 splicing factor	1
KAK3239658.1 hypothetical protein CYMTET_50428	1
XP_011131157.1 helicase	1
XP_059182260.1 ADP-sugar pyrophosphatase	1
XP_011130075.1 tubulin alpha chain	1
XP_011130074.1 PPPDE peptidase domain protein 2	1
XP_011133463.1 40S ribosomal protein S8	1
WP_281483663.1 PEP-CTERM sorting domain-contain...	1
XP_011128467.1 hypothetical protein GNI_001380	1
CEL94077.1 unnamed protein product	1
EPS60757.1 hypothetical protein M569_14044, par...	1
XP_011132688.1 C2 domain protein	1
XP_011134382.1 hypothetical protein GNI_024330	1
KAF8822055.1 putative S-adenosylmethionine-depe...	1
KAF4654953.1 hypothetical protein FOL47_009684	1
XP_011132529.1 putative transmembrane protein	1
XP_011134354.1 putative disulfide isomerase	1
XP_011134355.1 tRNA pseudouridine synthase	1
KAG8465158.1 hypothetical protein KFE25_012521	1
PHJ22958.1 pre-mrna splicing factor protein	1
KAH0483432.1 MAG: hypothetical protein KVP17_00...	1
XP_013761811.1 hypothetical protein AMSG_01203	1
XP_002365691.1 splicing factor DIM1, putative	1
ORE23513.1 hypothetical protein BCV71DRAFT_259409	1
XP_011129761.1 putative eukaryotic translation ...	1
XP_011130027.1 hypothetical protein GNI_063170	1
KAJ1606890.1 DnaJ domain-containing protein	1
GLE07868.1 hypothetical protein PINS_up018610	1
KAH9624428.1 hypothetical protein KSS87_008369	1
KAH0488195.1 MAG: hypothetical protein KVP17_00...	1
XP_011129682.1 putative TrmH family RNA methylt...	1
XP_011129683.1 putative oocyst wall protein	1
XP_011130897.1 GATA zinc finger protein	1
CAH7767911.1 unnamed protein product	1
XP_011129765.1 putative mRNA capping enzyme	1
KAF8817946.1 pyridoxal kinase	1
XP_011131562.1 bystin	1
XP_011132485.1 putative transmembrane protein	1
XP_011133247.1 putative RNA recognition motif p...	1
GMF20928.1 unnamed protein product	1
XP_053135870.1 splicing factor ESS-2 homolog	1
XP_011134223.1 hypothetical protein GNI_018860	1
XP_011133262.1 emp24/gp25L/p24 family protein	1
XP_011129763.1 hypothetical protein GNI_050900	1
OEH78633.1 RNA recognition motif-containing pro...	1
XP_046844534.1 adenosine kinase-like	1
KAI3640995.1 hypothetical protein MIR68_001873	1
KYK69415.1 heat shock protein 90	1
WP_298740595.1 choice-of-anchor I family protein	1
XP_011133313.1 WD repeat protein	1
XP_011134391.1 putative rhomboid protease	1
XP_027047312.1 late histone H2A.2.2-like	1
XP_011129662.1 putative 26S proteasome regulato...	1
XP_011130782.1 hypothetical protein GNI_089320	1
KAJ4970488.1 hypothetical protein NE237_003587	1
KAG9442828.1 hypothetical protein H6P81_018682	1
ESS30966.1 putative fructose-bisphosphate aldolase	1
XP_011132466.1 PAN domain protein	1
XP_011133325.1 hypothetical protein GNI_171700	1
CEM11398.1 unnamed protein product	1
KAI1286818.1 ATP-binding cassette sub-family C ...	1
XP_011132212.1 putative SIN-like protein	1
CEM28617.1 unnamed protein product	1
CEM03436.1 unnamed protein product	1
CAE7479999.1 pom1, partial	1
XP_011132232.1 WD40 associated region in TFIID ...	1
XP_011130052.1 integrin beta chain	1
XP_011128538.1 HAD superfamily hydrolase	1
XP_011128570.1 glyceraldehyde-3-phosphate dehyd...	1
CEL98457.1 unnamed protein product	1
XP_011129669.1 putative minichromosome maintena...	1
XP_013228359.1 ATP-binding cassette protein sub...	1
XP_029216997.1 ABC transporter transmembrane re...	1
ACX37109.1 ATP-binding cassette protein subfami...	1
ORE20586.1 hypothetical protein BCV71DRAFT_261868	1
CEL97537.1 unnamed protein product	1
CEM33379.1 unnamed protein product	1
XP_053991086.1 uncharacterized protein LOC12888...	1
XP_011132647.1 tubulin beta chain	1
XP_011132646.1 RNA polymerase III RPC4	1
XP_046358199.2 probable glutathione S-transfera...	1
KAG0148483.1 hypothetical protein CROQUDRAFT_65...	1
KAI8912262.1 glutathione S-transferase	1
XP_011132102.1 putative ATPase	1
XP_011133202.1 hypothetical protein GNI_166320	1
XP_011129872.1 adaptor-related complex 1 mu 1 s...	1
XP_011131972.1 CRAL/TRIO domain protein	1
XP_053991815.1 RNA-binding protein 39-like isof...	1
KAF6028585.1 EXOSC5	1
XP_011130504.1 hypothetical protein GNI_076600	1
XP_043801870.1 protein-L-isoaspartate(D-asparta...	1
KAH0476534.1 MAG: hypothetical protein KVP17_00...	1
PRP84224.1 hypothetical protein PROFUN_08424	1
WP_254098013.1 carboxy-S-adenosyl-L-methionine ...	1
KAK2196737.1 bifunctional Helicase	1
KAF8820441.1 putative pre-mRna-splicing factor ...	1
CEM14350.1 unnamed protein product	1
XP_011129368.1 putative transmembrane protein	1
XP_011131101.1 hypothetical protein GNI_099290	1
XP_011133126.1 hypothetical protein GNI_163670	1
GIX63974.1 endonuclease/exonuclease/phosphatase...	1
WP_158583852.1 alpha/beta fold hydrolase	1
NWH86914.1 H3 protein	1
XP_011129855.1 papain family cysteine protease	1
KAF7722066.1 Multiple RNA-binding domain-contai...	1
KAH0488697.1 MAG: hypothetical protein KVP17_00...	1
CEM06834.1 unnamed protein product	1
CAG9315150.1 unnamed protein product	1
POM83444.1 Galactose oxidase, central domain pr...	1
XP_011129240.1 galactose transporter	1
XP_029215477.1 putative eukaryotic initiation f...	1
XP_011132199.1 RNA methyltransferase	1
XP_011132200.1 histidine phosphatase superfamil...	1
XP_011131091.1 TLD protein	1
XP_011134385.1 putative methyltransferase	1
KAI8140030.1 hypothetical protein BJV82DRAFT_71...	1
KAH0478013.1 MAG: hypothetical protein KVP18_00...	1
GIX28846.1 MAG: oxidoreductase	1
OMJ81627.1 hypothetical protein SteCoe_17843	1
XP_011132117.1 ion channel regulatory protein U...	1
CEM03257.1 unnamed protein product	1
XP_003883474.1 SSU ribosomal protein S3P, related	1
XP_011131728.1 40S ribosomal protein S14	1
KAK1442349.1 TFIIH ssl1	1
XP_011130451.1 PUB domain protein	1
XP_011131326.1 putative PPPDE peptidase domain ...	1
CEM37813.1 unnamed protein product	1
XP_011130239.1 citrate synthase	1
ONM31808.1 Suppressor of mec-8 and unc-52 prote...	1
CEL76608.1 TPA: nnucleoredoxin, putative	1
CAH0369855.1 unnamed protein product	1
KAH0483815.1 MAG: hypothetical protein KVP17_00...	1
CEL97753.1 unnamed protein product	1
XP_011134046.1 60S ribosomal protein L30	1
XP_011131114.1 cysteinyl-tRNA synthetase	1
WP_061331485.1 MULTISPECIES: 3'(2'),5'-bisphosp...	1
XP_011129437.1 SFT2 protein	1
XP_030546973.1 heat shock 70 kDa protein-like	1
TRY51554.1 HORMA domain containing protein	1
KAH7302005.1 hypothetical protein KP509_23G052300	1
XP_011133101.1 putative ATP-binding domain protein	1
OEH77538.1 hypothetical protein cyc_02604	1
KAH0474395.1 MAG: hypothetical protein KVP17_00...	1
CEL99667.1 unnamed protein product	1
XP_011132893.1 helicase	1
XP_011131501.1 cytoplasmic phosphoglucomutase	1
XP_030636975.1 cytoplasmic dynein 1 intermediat...	1
XP_011132048.1 hypothetical protein GNI_127270	1
XP_011131619.1 kelch repeat protein	1
XP_013432889.1 CAMP-dependent protein kinase re...	1
XP_053992088.1 pre-mRNA-splicing factor RBM22-like	1
CEL92013.1 unnamed protein product	1
CEM15971.1 unnamed protein product	1
XP_055388701.1 LOW QUALITY PROTEIN: uncharacter...	1
XP_029216869.1 nucleosome assembly protein (nap...	1
XP_055377993.1 probable 18S rRNA (guanine-N(7))...	1
KAH7649437.1 40S ribosomal S15	1
XP_011131316.1 putative glycosyl transferase	1
XP_011130255.1 guanine nucleotide-binding subun...	1
XP_003883161.1 conserved hypothetical protein	1
PHJ21646.1 rna polymerase small	1
XP_011131332.1 MIZ zinc finger protein	1
XP_011131099.1 hypothetical protein GNI_099270	1
XP_011130847.1 hypothetical protein GNI_090870	1
XP_011131773.1 calmodulin	1
XP_011131774.1 hypothetical protein GNI_117860	1
XP_053991694.1 uncharacterized protein LOC12888...	1
KAH0488903.1 MAG: hypothetical protein KVP17_00...	1
XP_011131073.1 fasciclin domain protein	1
XP_003885150.1 conserved hypothetical protein	1
XP_011131131.1 putative Sec63 domain protein	1
WP_324825532.1 alanine racemase	1
XP_011131240.1 Ku70/Ku80 amine-terminal alpha/b...	1
XP_011130364.1 KH domain protein	1
CEM37763.1 unnamed protein product	1
TRY52316.1 Proliferation-associated protein 2G4...	1
XP_011130271.1 putative RNA-binding protein	1
XP_011130754.1 ribosome biogenesis regulatory p...	1
CEL67735.1 TPA: GK18150, related	1
CEL77039.1 TPA: ulp1 protease family, C-termina...	1
WP_322542028.1 D-arabinono-1,4-lactone oxidase	1
WP_322313357.1 ABC transporter ATP-binding prot...	1
XP_002142338.1 NOL1/NOP2/sun family protein	1
HEV7183305.1 nucleoside-diphosphate kinase	1
CAI8586572.1 unnamed protein product	1
XP_011129430.1 prefoldin subunit	1
XP_011130400.1 alpha/beta hydrolase family protein	1
KAF8822128.1 ribosomal protein RPS16	1
XP_056040939.1 Leo1-like protein-domain-contain...	1
CEL94188.1 unnamed protein product	1
XP_011129107.1 hypothetical protein GNI_028200,...	1
XP_011133228.1 amidohydrolase	1
XP_011131786.1 formin-like 2 domain protein	1
KAI7885026.1 Nop14-like protein	1
XP_011132938.1 putative transmembrane protein, ...	1
KAK4534319.1 hypothetical protein CDCA_CDCA01G0344	1
XP_013234051.1 hypothetical protein ETH_00008925	1
XP_059087839.1 uncharacterized protein LOC13188...	1
XP_011132690.1 hypothetical protein GNI_148180	1
KAI1722894.1 putative diphthamide synthesis pro...	1
XP_011132573.1 hypothetical protein GNI_141040	1
KAG6907473.1 hypothetical protein DXG01_008809	1
XP_011128463.1 hypothetical protein GNI_001250	1
CAE7556883.1 PLRG1	1
XP_011134361.1 DnaJ domain protein	1
KAG8291030.1 hypothetical protein J6590_071298	1
CEM01478.1 unnamed protein product	1
XP_011130852.1 putative RNA polymerase	1
XP_047076500.1 gallate 1-beta-glucosyltransfera...	1
XP_029215510.1 putative 60S ribosomal protein L7-B	1
XP_021747042.1 glutamate-rich WD repeat-contain...	1
KAF8819781.1 calcium dependent protein kinase C...	1
CEL97950.1 unnamed protein product	1
XP_011132172.1 putative proteasome 26S regulato...	1
KAG7399089.1 SET and MYND domain-containing pro...	1
XP_011130321.1 KH domain protein	1
XP_047790698.1 uncharacterized protein F4812DRA...	1
XP_011130323.1 translationally-controlled tumor...	1
CAE7630827.1 Abitram	1
MCP4560961.1 EamA-like transporter family protein	1
XP_011128603.1 putative oocyst wall protein	1
XP_011128604.1 hypothetical protein GNI_005280	1
XP_011130555.1 putative transmembrane protein	1
OCF39022.1 hypothetical protein I317_07199	1
XP_011129676.1 myosin domain protein	1
XP_011129093.1 putative transmembrane protein	1
XP_011129270.1 poly polymerase	1
XP_011129468.1 carboxy-terminal domain cyclin	1
XP_003880665.1 fibrillin 1, related	1
XP_011134454.1 putative transmembrane protein, ...	1
OMJ93530.1 hypothetical protein SteCoe_3508	1
XP_011128536.1 putative transmembrane protein	1
XP_011128537.1 putative transmembrane protein	1
KAH0480216.1 MAG: hypothetical protein KVP17_00...	1
CEL71157.1 TPA: adenylosuccinate lyase, putative	1
XP_011132806.1 phosphatidate cytidylyltransferase	1
XP_021338397.1 conserved protein, unknown function	1
WP_089153041.1 deoxyribose-phosphate aldolase	1
XP_011131683.1 saccharopine dehydrogenase	1
XP_011130550.1 putative transmembrane protein	1
CAD7971220.1 unnamed protein product	1
XP_667416.1 hypothetical protein	1
KAK2195074.1 bifunctional Serine-threonine-prot...	1
WP_130282372.1 ExeM/NucH family extracellular e...	1
HET7044484.1 5'-nucleotidase C-terminal domain-...	1
XP_011129469.1 histone H3	1
XP_011129867.1 putative nucleolar protein Nop56	1
XP_011128745.1 hypothetical protein GNI_009670	1
CAE6967416.1 unnamed protein product	1
XP_003879947.1 hypothetical protein NCLIV_003960	1
XP_011130529.1 putative oocyst wall protein	1
XP_011130683.1 acid phosphatase	1
CEL96945.1 unnamed protein product	1
CEM30102.1 unnamed protein product	1
CEM23147.1 unnamed protein product	1
CEM40049.1 unnamed protein product	1
XP_028534650.1 krox-like protein, putative	1
CEM25166.1 unnamed protein product	1
TRY52243.1 Phosphoinositide phospholipase C	1
MBI5440468.1 S8 family serine peptidase	1
XP_003882350.1 uncharacterized protein NCLIV_02...	1
KAF4728282.1 Suppressor of the cold-sensitive s...	1
MCB9062305.1 S8 family serine peptidase	1
NPU90362.1 S8 family serine peptidase	1
MBK7977645.1 S8 family serine peptidase	1
WP_238378984.1 S8 family peptidase	1
XP_011130314.1 CBF/Mak21 family protein	1
XP_011131681.1 putative phospholipid-transporti...	1
CAJ1372229.1 unnamed protein product	1
XP_053990308.1 serine/arginine repetitive matri...	1
KAJ1444862.1 DHBP synthase RibB-like alpha/beta...	1
XP_011131703.1 histidine triad domain protein	1
OEU09374.1 kinase-like protein	1
CAI5745227.1 unnamed protein product	1
XP_011130814.1 DNA-directed RNA polymerase	1
XP_011128918.1 GNS1/SUR4 family protein	1
XP_026190324.1 LOW QUALITY PROTEIN: uncharacter...	1
XP_011134065.1 hypothetical protein GNI_082440	1
XP_011130029.1 VMA21-like domain protein	1
XP_011129099.1 SET domain protein	1
XP_011129012.1 40S ribosomal protein S28	1
CEM28662.1 unnamed protein product	1
XP_011129187.1 hypothetical protein GNI_031980	1
KAF8819909.1 fumble protein	1
CAJ1421600.1 unnamed protein product	1
KAH0473714.1 MAG: hypothetical protein KVP17_00...	1
XP_011131224.1 hypothetical protein GNI_102710	1
XP_003884023.1 putative 41-3 antigen	1
KAF8821911.1 putative Dna ligase 1	1
KHJ84034.1 hypothetical protein OESDEN_16256, p...	1
MBM4236513.1 amidinotransferase	1
KAH0488976.1 MAG: hypothetical protein KVP17_00...	1
CEM25783.1 unnamed protein product	1
OII75703.1 AAA family protein	1
KAH0488032.1 MAG: hypothetical protein KVP18_00...	1
XP_029216704.1 hypothetical protein BESB_013070	1
XP_011133114.1 hypothetical protein GNI_163460,...	1
XP_011129567.1 putative MORN repeat protein	1
MBZ5593164.1 4'-phosphopantetheinyl transferase...	1
KAD7477083.1 hypothetical protein E3N88_00219	1
MDD5418901.1 catalase	1
XP_011131800.1 putative 60S ribosomal protein L24	1
XP_011131686.1 hypothetical protein GNI_115540	1
KAH0483835.1 MAG: hypothetical protein KVP17_00...	1
CAI4014452.1 unnamed protein product	1
XP_029215096.1 casein kinase ii regulatory subu...	1
XP_011132435.1 putative helicase	1
KAJ1606175.1 PP2C-like protein phosphatase	1
CAK0851625.1 unnamed protein product	1
XP_011132543.1 lysine-tRNA ligase	1
KAH0477968.1 MAG: hypothetical protein KVP18_00...	1
CEL99854.1 unnamed protein product	1
XP_011132610.1 bromodomain protein	1
WP_163234544.1 uridine kinase	1
XP_011128738.1 putative patatin	1
XP_038779159.1 uncharacterized protein FOA43_00...	1
WP_136135950.1 adenine phosphoribosyltransferase	1
KAI2507622.1 Protein phosphatase inhibitor 2 (I...	1
KAI9825839.1 MAG: U3 small nucleolar RNA-associ...	1
CEM16453.1 unnamed protein product	1
WP_185692937.1 transaldolase	1
XP_011132350.1 guanylate kinase	1
KYF42762.1 Myb family DNA-binding domain-contai...	1
XP_011134398.1 methyltransferase domain protein	1
XP_029218100.1 uncharacterized protein BESB_072430	1
KXN71728.1 katanin p60 ATPase domain-containing...	1
XP_044558250.1 uncharacterized protein FDP41_00...	1
ETW46022.1 hypothetical protein PFMALIP_05913, ...	1
XP_011131329.1 glutamine-tRNA ligase	1
XP_011134199.1 patched family protein	1
XP_011131630.1 BTB/POZ domain protein	1
XP_011130224.1 protein kinase domain protein	1
XP_002776765.1 zinc transport protein, putative	1
ETW33413.1 CMGC/CDK protein kinase	1
XP_011128494.1 C2 domain protein	1
MCS6835748.1 insulinase family protein	1
CEM30245.1 unnamed protein product	1
KAF1883236.1 hypothetical protein Lal_00030340	1
CEM16186.1 unnamed protein product	1
XP_011133520.1 putative transmembrane protein	1
XP_011134515.1 hypothetical protein GNI_060620	1
XP_011132537.1 hypothetical protein GNI_140040	1
CEL98097.1 unnamed protein product	1
XP_011132540.1 IMP-specific 5'-nucleotidase	1
XP_011129266.1 tetratricopeptide repeat protein	1
XP_011130282.1 T-complex 1 subunit alpha	1
KAH0474547.1 MAG: hypothetical protein KVP18_00...	1
XP_011130290.1 hypothetical protein GNI_070310	1
XP_003881753.1 putative ribose-phosphate pyroph...	1
KAH0486085.1 MAG: hypothetical protein KVP17_00...	1
WP_016523702.1 DUF4241 domain-containing protein	1
XP_011129557.1 TFIIB zinc-binding protein, partial	1
XP_011134132.1 putative ubiquitin-conjugating e...	1
XP_011134133.1 putative aspartyl protease	1
XP_011134134.1 hypothetical protein GNI_144500	1
XP_011130289.1 peptidyl-prolyl cis-trans isomer...	1
WP_161605252.1 ExeM/NucH family extracellular e...	1
CEL95466.1 unnamed protein product	1
ABR21557.1 myosin F	1
XP_011131066.1 myosin F	1
KAH0482393.1 MAG: hypothetical protein KVP18_00...	1
KAF8821849.1 CorA family Mg2+ transporter protein	1
HLX44316.1 alanyl-tRNA editing protein	1
CEL66687.1 TPA: Pepsinogen A1, related	1
MBL7926717.1 ribonucleotide-diphosphate reducta...	1
WP_142833355.1 nucleotide exchange factor GrpE	1
WP_204970494.1 hypothetical protein	1
XP_006956977.1 putative heat shock protein sks2	1
XP_006844319.1 cinnamate beta-D-glucosyltransfe...	1
CAD7957612.1 unnamed protein product	1
CEM04173.1 unnamed protein product	1
XP_011133172.1 calcium-binding EGF domain protein	1
XP_003879547.1 putative sybindin-like family do...	1
XP_011132651.1 putative transporter	1
MBT2515692.1 MFS transporter	1
KAF9932478.1 hypothetical protein BGZ67_004717	1
XP_028865704.1 replication factor C subunit	1
XP_058218301.1 vicilin-like seed storage protei...	1
XP_052093327.1 ubiquitin carboxyl-terminal hydr...	1
NBC69767.1 bifunctional 2',3'-cyclic-nucleotide...	1
XP_011132375.1 putative nascent polypeptide-ass...	1
AET50679.1 hypothetical protein	1
CEM06144.1 unnamed protein product	1
XP_011134093.1 hypothetical protein GNI_083980	1
KAF8821681.1 zinc finger, C3HC4 type (RING fing...	1
XP_011131334.1 dullard-like phosphatase domain ...	1
XP_011134274.1 hypothetical protein GNI_020370	1
CAE7575130.1 SMC1	1
WP_138379630.1 aminopeptidase N	1
HMG04816.1 NAD(P)-dependent alcohol dehydrogenase	1
MDB5283250.1 Zn-dependent alcohol dehydrogenase	1
XP_011132992.1 putative DNA repair protein	1
HYZ20514.1 dihydrolipoyl dehydrogenase	1
XP_011130302.1 hypothetical protein GNI_070520	1
XP_011134035.1 putative DNA-directed RNA polyme...	1
CAK0858056.1 unnamed protein product, partial	1
XP_003883703.1 putative TCP-1/cpn60 family chap...	1
XP_011131993.1 putative zinc-finger Ran-binding...	1
XP_002370556.1 multiprotein bridging factor typ...	1
CEM33402.1 unnamed protein product	1
CAE7385369.1 LSM2, partial	1
XP_011132636.1 OST-HTH associated domain protei...	1
XP_011134196.1 putative solute:sodium symporter...	1
XP_053991862.1 uncharacterized protein LOC12888...	1
XP_011132084.1 alanyl-tRNA synthetase	1
HCV31973.1 hypothetical protein	1
MCB1834883.1 DUF4114 domain-containing protein	1
KAH0480522.1 MAG: hypothetical protein KVP17_00...	1
XP_011131249.1 putative tRNA (guanine(26)-N(2))...	1
XP_011129039.1 male gamete fusion factor	1
XP_011132207.1 hypothetical protein GNI_132300	1
XP_011133047.1 nucleolar GTP-binding protein 1	1
XP_011128736.1 eukaryotic translation initiatio...	1
KAF8821119.1 hydrolase, NUDIX family protein, p...	1
MBR56949.1 hypothetical protein	1
RQX74530.1 transmembrane amino acid transporter...	1
CEM04516.1 unnamed protein product	1
XP_011129678.1 hypothetical protein GNI_049600	1
XP_011129679.1 putative diacylglycerol kinase	1
XP_011131794.1 hypothetical protein GNI_118690	1
KAF8818063.1 DEAD/DEAH box helicase	1
KAH0481807.1 MAG: hypothetical protein KVP18_00...	1
KAH8582398.1 hypothetical protein ELE39_001054	1
NJL67890.1 VWA domain-containing protein	1
XP_011130204.1 putative zinc finger protein	1
XP_011130218.1 endonuclease/exonuclease/phospha...	1
CEM20719.1 unnamed protein product	1
XP_018634894.1 hypothetical protein TGME49_245660	1
CEL93910.1 unnamed protein product	1
XP_011129702.1 Not1 amine-terminal domain, CCR4...	1
XP_021338108.1 conserved Plasmodium protein, un...	1
XP_011129232.1 formin-like 2 domain protein	1
KFH08163.1 ICE family protease (caspase) p20 do...	1
CEL95438.1 unnamed protein product	1
XP_011132891.1 hypothetical protein GNI_155620	1
CAE7793945.1 POLL	1
KAJ8598998.1 hypothetical protein CTAYLR_009461	1
CAJ1430066.1 unnamed protein product	1
WPK24871.1 hypothetical protein PUMCH_002168  s...	1
XP_018746967.1 hypothetical protein FVEG_03052	1
KAF8821359.1 Rna recognition motif-containing p...	1
XP_011132130.1 GNAT acetyltransferase 2	1
XP_011132814.1 RNA recognition motif protein	1
XP_011128608.1 hypothetical protein GNI_005320	1
XP_055388854.1 uncharacterized protein LOC12961...	1
CEM04589.1 unnamed protein product	1
